x,y,z,token
22.92858,7.6039424,1.6745118,wall
8.712047,2.3023028,-1.6046937,",)"
33.480484,-19.815712,-1.305815,aaron
-0.020783065,27.139002,17.848297,arm
13.430531,-24.824228,-4.522478,blessed
-12.156503,19.584377,4.168369,opened
-7.3152423,-11.061088,16.069931,talk
-19.462507,-14.274882,7.3863854,;--
3.441175,-19.682943,-5.2179127,seek
-12.9916315,-2.0986996,7.396782,case
-3.9929435,-26.223995,-10.461634,knowledge
-3.3099704,3.209909,20.534777,hard
-26.604286,14.273073,3.189138,immediately
28.685516,-2.4630778,-14.504431,offering
22.719944,5.637064,-8.123364,wood
-8.326873,-18.696777,-3.113312,seeing
37.889614,-12.541422,0.63994116,chapter
14.505858,9.672768,-3.9266438,wind
-16.181953,13.06304,-2.1989732,point
-20.586332,13.640393,-6.980424,silence
1.0577064,7.5455356,18.58355,",--"
18.282726,20.304634,-6.505462,green
28.045456,-1.2837331,-15.044644,offer
1.0300558,-19.79452,-0.7847654,save
-0.91883194,13.398254,-15.004047,deep
14.380418,-24.985367,7.8716908,sing
-12.431486,-10.333098,21.5161,.'
-2.5339835,-2.5892413,14.398976,making
32.21031,-6.852346,13.237488,month
-2.7968488,-9.592794,14.336168,sit
22.76011,-30.72536,-0.2889148,39
-12.463608,-9.8253145,21.6457,!'
16.955547,-21.319492,-5.432308,seed
20.298513,19.462208,-0.6286748,fish
11.557443,7.3109436,-0.5600763,sound
-18.211033,-16.274622,17.316551,bad
13.886949,5.331464,-0.3828042,cry
18.381676,7.7626095,-17.509993,fruit
24.68442,0.06335908,5.8717647,mount
1.813895,-1.7628102,13.168585,fast
4.041798,7.113675,7.5604467,run
33.253227,1.4449302,-5.2505503,tabernacle
-21.856659,2.7759256,9.379222,letter
-22.014757,-22.127407,-4.8141866,spirits
10.924887,11.193444,11.149802,cut
15.262871,-12.941539,18.32542,read
-3.3256154,-5.6047287,-9.272256,free
-2.043347,-2.7512631,-6.0910554,past
10.436846,-12.348642,-13.941069,enemies
-17.685104,2.395211,12.404936,gentleman
27.082018,-10.631416,-4.2380223,chief
20.186052,17.766434,5.247309,top
-12.710782,-0.67914975,27.747671,.)
23.649061,8.698048,-16.144848,wine
3.124484,-23.766655,-10.186822,judge
-2.1816223,-13.144195,-9.611669,thoughts
34.60135,-3.7638702,11.234587,third
26.580738,1.9966397,7.053375,river
8.41086,-11.062554,-2.2191417,become
29.269207,-16.02094,-5.8278437,daughters
2.9887593,-27.38666,-0.04953592,shew
20.907644,-30.63361,1.0348271,41
22.175343,-12.806287,-4.09413,solomon
-0.9800044,-14.838163,1.7648832,fight
-1.1052902,-14.124886,-26.826166,husband
13.373562,-9.339425,-12.725388,destroy
25.80944,0.09886009,0.6815391,wilderness
5.6605973,-5.55891,-1.2715822,fair
13.4942045,-12.560265,-11.484806,delivered
11.13297,9.381178,-6.577389,low
22.682064,-18.111614,11.097127,john
-7.563551,-5.2010474,26.146082,ve
23.85671,5.0966268,-5.8151574,stone
-12.228934,-11.487951,16.462498,please
15.673393,-20.470402,5.5903177,angel
11.050046,-25.542486,-8.74497,righteousness
-20.752525,10.983183,21.47917,continued
-16.16422,-1.3713166,7.735656,used
8.7112055,-9.300343,-13.03288,anger
-25.01774,-9.192077,20.295382,longer
-28.540754,2.805218,4.2381363,company
-30.844906,0.85440093,6.9184523,party
-19.658737,3.646094,4.0880814,already
-5.807283,23.549202,19.43909,forward
0.16940397,-21.6959,-8.380831,ways
15.908976,12.597306,-1.773215,wild
-12.196828,6.606666,-15.057378,sense
2.9581385,-16.649694,-4.1173134,lest
-20.958847,14.983321,0.34957725,appeared
-8.621024,-14.466322,14.193637,seem
5.217137,14.045512,-23.481043,darkness
2.699866,-22.83382,-1.7253702,sake
11.9957905,-10.692968,-22.733595,carried
1.8853037,-18.374968,-1.36057,deliver
-18.902891,-11.583491,8.319179,ill
-24.63025,-13.85646,16.770561,hardly
-24.797468,2.1575613,17.540684,mary
-6.213908,-5.819896,15.512819,comes
0.53495616,19.552582,7.982299,close
1.3187065,-0.59199506,-27.87043,followed
-10.246425,-7.361937,5.082626,use
15.290476,-30.101954,-4.5032225,hosts
26.490847,-10.526704,-14.900456,covenant
9.085636,-28.289118,-4.105086,mercy
-11.68148,-1.6516377,-4.9634824,common
